time,with feedback,without feedback
54.8,-39,82
54.85,-25,74
54.9,-8,63
54.95,7,50
55,22,34
55.05,38,12
55.1,49,-5
55.15,59,-23
55.2,64,-42
55.25,65,-55
55.3,64,-63
55.35,59,-69
55.4,50,-69
55.45,40,-69
55.5,25,-61
55.55,8,-52
55.6,-7,-36
55.65,-23,-17
55.7,-36,0
55.75,-51,18
55.8,-59,36
55.85,-65,55
55.9,-66,67
55.95,-65,77
56,-61,83
56.05,-53,85
56.1,-41,82
56.15,-27,76
56.2,-10,66
56.25,4,56
56.3,20,43
56.35,36,18
56.4,48,1
56.45,56,-15
56.5,62,-35
56.55,64,-49
56.6,63,-59
56.65,58,-67
56.7,50,-69
56.75,39,-69
56.8,24,-63
56.85,11,-54
56.9,-3,-42
56.95,-22,-24
57,-37,-4
57.05,-48,14
57.1,-57,31
57.15,-63,46
57.2,-66,62
57.25,-65,73
57.3,-61,80
57.35,-51,83
57.4,-40,83
57.45,-28,78
57.5,-12,67
57.55,2,57
57.6,19,45
57.65,32,25
57.7,46,5
57.75,56,-11
57.8,61,-29
57.85,63,-44
57.9,63,-56
57.95,58,-65
58,50,-66
58.05,38,-68
58.1,25,-64
58.15,11,-55
58.2,-5,-46
58.25,-21,-27
58.3,-34,-11
58.35,-46,6
58.4,-56,23
58.45,-63,41
58.5,-64,58
58.55,-63,69
58.6,-59,76
58.65,-52,82
58.7,-38,80
58.75,-25,78
58.8,-10,70
58.85,3,61
58.9,20,49
58.95,34,33
59,45,10
59.05,55,-4
59.1,60,-21
59.15,62,-38
59.2,60,-51
59.25,56,-59
59.3,48,-65
59.35,38,-65
59.4,23,-64
59.45,8,-57
59.5,-4,-49
59.55,-18,-32
59.6,-35,-16
59.65,-46,1
59.7,-54,17
59.75,-61,37
59.8,-64,52
59.85,-62,63
59.9,-59,72
59.95,-47,78
60,-39,79
60.05,-24,78
60.1,-11,72
60.15,2,64
60.2,20,51
60.25,33,36
60.3,44,15
60.35,54,1
60.4,60,-18
60.45,61,-34
60.5,60,-48
60.55,55,-57
60.6,48,-64
60.65,37,-64
60.7,24,-65
60.75,11,-58
60.8,-3,-50
60.85,-17,-38
60.9,-32,-19
60.95,-44,-2
61,-54,13
61.05,-60,33
61.1,-62,49
61.15,-62,62
61.2,-56,69
61.25,-48,76
61.3,-38,78
61.35,-27,77
61.4,-10,73
61.45,3,64
61.5,16,54
61.55,30,42
61.6,42,20
61.65,51,4
61.7,57,-10
61.75,60,-28
61.8,59,-43
61.85,56,-55
61.9,48,-62
61.95,37,-64
62,25,-64
62.05,12,-61
62.1,-1,-51
62.15,-18,-40
62.2,-31,-25
62.25,-41,-7
62.3,-52,9
62.35,-57,27
62.4,-59,42
62.45,-60,57
62.5,-55,67
62.55,-47,73
62.6,-37,77
62.65,-24,76
62.7,-11,73
62.75,4,65
62.8,17,55
62.85,32,41
62.9,42,23
62.95,52,7
63,59,-5
63.05,59,-26
63.1,58,-39
63.15,55,-50
63.2,47,-58
63.25,35,-62
63.3,22,-63
63.35,9,-59
63.4,-2,-52
63.45,-16,-39
63.5,-31,-26
63.55,-41,-8
63.6,-50,6
63.65,-57,25
63.7,-60,41
63.75,-58,54
63.8,-53,65
63.85,-46,72
63.9,-36,76
63.95,-26,76
64,-12,71
64.05,3,64
64.1,16,56
64.15,29,44
64.2,40,25
64.25,48,8
